2017-05-09 16:18:19 status half-installed mawk:amd64 1.3.3-17
2017-05-09 16:18:19 status unpacked mawk:amd64 1.3.3-17
2017-05-09 16:18:19 status unpacked mawk:amd64 1.3.3-17
2017-05-09 16:18:19 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2017-05-09 16:18:19 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 install libncursesw5:amd64 <none> 5.9+20140913-1+b1
2017-05-09 16:18:19 status half-installed libncursesw5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked libncursesw5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 install libtinfo5:amd64 <none> 5.9+20140913-1+b1
2017-05-09 16:18:19 status half-installed libtinfo5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked libtinfo5:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 install ncurses-base:all <none> 5.9+20140913-1
2017-05-09 16:18:19 status half-installed ncurses-base:all 5.9+20140913-1
2017-05-09 16:18:19 status unpacked ncurses-base:all 5.9+20140913-1
2017-05-09 16:18:19 status unpacked ncurses-base:all 5.9+20140913-1
2017-05-09 16:18:19 install ncurses-bin:amd64 <none> 5.9+20140913-1+b1
2017-05-09 16:18:19 status half-installed ncurses-bin:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 status unpacked ncurses-bin:amd64 5.9+20140913-1+b1
2017-05-09 16:18:19 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2
2017-05-09 16:18:19 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:19 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:19 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:19 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2
2017-05-09 16:18:19 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 install libpam-runtime:all <none> 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status half-installed libpam-runtime:all 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status unpacked libpam-runtime:all 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-05-09 16:18:20 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
